"","Sample_Name","commonID","design_description","filname_1","filname_2"
"217","TCDM_3_105_X5_66_rt3_o","H08_105_X5_66_rt3_o","SampleID: H08_105_X5_66_rt3_o; RNAseq Plate ID: TCDM_3; RNAseq Plate Well ID: H08 Year: 2024; Accession: ITH21F005P066; Block: 1; Root: 3; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","3_H08_105_X5_66_rt3_o_10479813_22MM3HLT4_L3_R1","3_H08_105_X5_66_rt3_o_10479813_22MM3HLT4_L3_R2"
"218","TCDM_3_112_X4_67_rt3_i","H09_112_X4_67_rt3_i","SampleID: H09_112_X4_67_rt3_i; RNAseq Plate ID: TCDM_3; RNAseq Plate Well ID: H09 Year: 2024; Accession: ITH21F004P067; Block: 1; Root: 3; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","3_H09_112_X4_67_rt3_i_10479813_22MM3HLT4_L3_R1","3_H09_112_X4_67_rt3_i_10479813_22MM3HLT4_L3_R2"
"219","TCDM_3_218_X8_415_rt2_i","H11_218_X8_415_rt2_i","SampleID: H11_218_X8_415_rt2_i; RNAseq Plate ID: TCDM_3; RNAseq Plate Well ID: H11 Year: 2024; Accession: ITH21F008P041.5; Block: 2; Root: 2; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","3_H11_218_X8_415_rt2_i_10479813_22MM3HLT4_L3_R1","3_H11_218_X8_415_rt2_i_10479813_22MM3HLT4_L3_R2"
"220","TCDM_3_304_X5_31_rt1_i","H12_304_X5_31_rt1_i","SampleID: H12_304_X5_31_rt1_i; RNAseq Plate ID: TCDM_3; RNAseq Plate Well ID: H12 Year: 2024; Accession: ITH21F005P031; Block: 3; Root: 1; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","3_H12_304_X5_31_rt1_i_10479813_22MM3HLT4_L3_R1","3_H12_304_X5_31_rt1_i_10479813_22MM3HLT4_L3_R2"
"221","TCDM_4_304_X5_31_rt1_o","A01_304_X5_31_rt1_o","SampleID: A01_304_X5_31_rt1_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: A01 Year: 2024; Accession: ITH21F005P031; Block: 3; Root: 1; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_A01_304_X5_31_rt1_o_10479813_22MM3HLT4_L3_R1","4_A01_304_X5_31_rt1_o_10479813_22MM3HLT4_L3_R2"
"222","TCDM_4_319_X8_37_rt2_i","A02_319_X8_37_rt2_i","SampleID: A02_319_X8_37_rt2_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: A02 Year: 2024; Accession: ITH21F008P037; Block: 3; Root: 2; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_A02_319_X8_37_rt2_i_10479813_22MM3HLT4_L3_R1","4_A02_319_X8_37_rt2_i_10479813_22MM3HLT4_L3_R2"
"223","TCDM_4_407_X2_24_rt3_o","A03_407_X2_24_rt3_o","SampleID: A03_407_X2_24_rt3_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: A03 Year: 2024; Accession: ITH21F002P024; Block: 4; Root: 3; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_A03_407_X2_24_rt3_o_10479813_22MM3HLT4_L3_R1","4_A03_407_X2_24_rt3_o_10479813_22MM3HLT4_L3_R2"
"224","TCDM_4_317_X4_42_rt1_o","A04_317_X4_42_rt1_o","SampleID: A04_317_X4_42_rt1_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: A04 Year: 2024; Accession: ITH21F004P042; Block: 3; Root: 1; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_A04_317_X4_42_rt1_o_10479813_22MM3HLT4_L3_R1","4_A04_317_X4_42_rt1_o_10479813_22MM3HLT4_L3_R2"
"225","TCDM_4_220_X10_39_rt1_o","A05_220_X10_39_rt1_o","SampleID: A05_220_X10_39_rt1_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: A05 Year: 2024; Accession: ITH21F010P039; Block: 2; Root: 1; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_A05_220_X10_39_rt1_o_10479813_22MM3HLT4_L3_R1","4_A05_220_X10_39_rt1_o_10479813_22MM3HLT4_L3_R2"
"226","TCDM_4_407_X2_24_rt1_o","A06_407_X2_24_rt1_o","SampleID: A06_407_X2_24_rt1_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: A06 Year: 2024; Accession: ITH21F002P024; Block: 4; Root: 1; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_A06_407_X2_24_rt1_o_10479813_22MM3HLT4_L3_R1","4_A06_407_X2_24_rt1_o_10479813_22MM3HLT4_L3_R2"
"227","TCDM_4_418_X5_36_rt1_o","A07_418_X5_36_rt1_o","SampleID: A07_418_X5_36_rt1_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: A07 Year: 2024; Accession: ITH21F005P036; Block: 4; Root: 1; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_A07_418_X5_36_rt1_o_10479813_22MM3HLT4_L3_R1","4_A07_418_X5_36_rt1_o_10479813_22MM3HLT4_L3_R2"
"228","TCDM_4_218_X8_415_rt3_i","A08_218_X8_415_rt3_i","SampleID: A08_218_X8_415_rt3_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: A08 Year: 2024; Accession: ITH21F008P041.5; Block: 2; Root: 3; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_A08_218_X8_415_rt3_i_10479813_22MM3HLT4_L3_R1","4_A08_218_X8_415_rt3_i_10479813_22MM3HLT4_L3_R2"
"229","TCDM_4_313_X1_54_rt3_i","A09_313_X1_54_rt3_i","SampleID: A09_313_X1_54_rt3_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: A09 Year: 2024; Accession: ITH21F001P054; Block: 3; Root: 3; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 7MAP","4_A09_313_X1_54_rt3_i_10479813_22MM3HLT4_L3_R1","4_A09_313_X1_54_rt3_i_10479813_22MM3HLT4_L3_R2"
"230","TCDM_4_101_X2_24_rt3_i","A10_101_X2_24_rt3_i","SampleID: A10_101_X2_24_rt3_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: A10 Year: 2024; Accession: ITH21F002P024; Block: 1; Root: 3; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 7MAP","4_A10_101_X2_24_rt3_i_10479813_22MM3HLT4_L3_R1","4_A10_101_X2_24_rt3_i_10479813_22MM3HLT4_L3_R2"
"231","TCDM_4_303_X11_68_rt3_i","A11_303_X11_68_rt3_i","SampleID: A11_303_X11_68_rt3_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: A11 Year: 2024; Accession: ITH21F011P068; Block: 3; Root: 3; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 8MAP","4_A11_303_X11_68_rt3_i_10479813_22MM3HLT4_L3_R1","4_A11_303_X11_68_rt3_i_10479813_22MM3HLT4_L3_R2"
"232","TCDM_4_403_A20_rt2_o","A12_403_A20_rt2_o","SampleID: A12_403_A20_rt2_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: A12 Year: 2024; Accession: HIL16A020; Block: 4; Root: 2; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_A12_403_A20_rt2_o_10479813_22MM3HLT4_L3_R1","4_A12_403_A20_rt2_o_10479813_22MM3HLT4_L3_R2"
"233","TCDM_4_304_X5_31_rt3_o","B01_304_X5_31_rt3_o","SampleID: B01_304_X5_31_rt3_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: B01 Year: 2024; Accession: ITH21F005P031; Block: 3; Root: 3; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_B01_304_X5_31_rt3_o_10479813_22MM3HLT4_L3_R1","4_B01_304_X5_31_rt3_o_10479813_22MM3HLT4_L3_R2"
"234","TCDM_4_319_X8_37_rt2_o","B02_319_X8_37_rt2_o","SampleID: B02_319_X8_37_rt2_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: B02 Year: 2024; Accession: ITH21F008P037; Block: 3; Root: 2; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_B02_319_X8_37_rt2_o_10479813_22MM3HLT4_L3_R1","4_B02_319_X8_37_rt2_o_10479813_22MM3HLT4_L3_R2"
"235","TCDM_4_319_X8_37_rt3_i","B04_319_X8_37_rt3_i","SampleID: B04_319_X8_37_rt3_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: B04 Year: 2024; Accession: ITH21F008P037; Block: 3; Root: 3; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_B04_319_X8_37_rt3_i_10479813_22MM3HLT4_L3_R1","4_B04_319_X8_37_rt3_i_10479813_22MM3HLT4_L3_R2"
"236","TCDM_4_418_X5_36_rt1_i","B05_418_X5_36_rt1_i","SampleID: B05_418_X5_36_rt1_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: B05 Year: 2024; Accession: ITH21F005P036; Block: 4; Root: 1; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_B05_418_X5_36_rt1_i_10479813_22MM3HLT4_L3_R1","4_B05_418_X5_36_rt1_i_10479813_22MM3HLT4_L3_R2"
"237","TCDM_4_207_A04_rt2_o","B06_207_A04_rt2_o","SampleID: B06_207_A04_rt2_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: B06 Year: 2024; Accession: HIL16A004; Block: 2; Root: 2; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_B06_207_A04_rt2_o_10479813_22MM3HLT4_L3_R1","4_B06_207_A04_rt2_o_10479813_22MM3HLT4_L3_R2"
"238","TCDM_4_403_A20_rt3_o","B07_403_A20_rt3_o","SampleID: B07_403_A20_rt3_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: B07 Year: 2024; Accession: HIL16A020; Block: 4; Root: 3; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_B07_403_A20_rt3_o_10479813_22MM3HLT4_L3_R1","4_B07_403_A20_rt3_o_10479813_22MM3HLT4_L3_R2"
"239","TCDM_4_220_X10_39_rt2_o","B08_220_X10_39_rt2_o","SampleID: B08_220_X10_39_rt2_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: B08 Year: 2024; Accession: ITH21F010P039; Block: 2; Root: 2; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_B08_220_X10_39_rt2_o_10479813_22MM3HLT4_L3_R1","4_B08_220_X10_39_rt2_o_10479813_22MM3HLT4_L3_R2"
"240","TCDM_4_205_X1_54_rt2_i","B09_205_X1_54_rt2_i","SampleID: B09_205_X1_54_rt2_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: B09 Year: 2024; Accession: ITH21F001P054; Block: 2; Root: 2; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_B09_205_X1_54_rt2_i_10479813_22MM3HLT4_L3_R1","4_B09_205_X1_54_rt2_i_10479813_22MM3HLT4_L3_R2"
"241","TCDM_4_101_X2_24_rt2_i","B11_101_X2_24_rt2_i","SampleID: B11_101_X2_24_rt2_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: B11 Year: 2024; Accession: ITH21F002P024; Block: 1; Root: 2; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 7MAP","4_B11_101_X2_24_rt2_i_10479813_22MM3HLT4_L3_R1","4_B11_101_X2_24_rt2_i_10479813_22MM3HLT4_L3_R2"
"242","TCDM_4_307_A03_rt3_o","B12_307_A03_rt3_o","SampleID: B12_307_A03_rt3_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: B12 Year: 2024; Accession: HIL16A003; Block: 3; Root: 3; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_B12_307_A03_rt3_o_10479813_22MM3HLT4_L3_R1","4_B12_307_A03_rt3_o_10479813_22MM3HLT4_L3_R2"
"243","TCDM_4_307_A03_rt2_i","C01_307_A03_rt2_i","SampleID: C01_307_A03_rt2_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: C01 Year: 2024; Accession: HIL16A003; Block: 3; Root: 2; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_C01_307_A03_rt2_i_10479813_22MM3HLT4_L3_R1","4_C01_307_A03_rt2_i_10479813_22MM3HLT4_L3_R2"
"244","TCDM_4_319_X8_37_rt3_o","C02_319_X8_37_rt3_o","SampleID: C02_319_X8_37_rt3_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: C02 Year: 2024; Accession: ITH21F008P037; Block: 3; Root: 3; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_C02_319_X8_37_rt3_o_10479813_22MM3HLT4_L3_R1","4_C02_319_X8_37_rt3_o_10479813_22MM3HLT4_L3_R2"
"245","TCDM_4_409_X2_45_rt2_i","C03_409_X2_45_rt2_i","SampleID: C03_409_X2_45_rt2_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: C03 Year: 2024; Accession: ITH21F002P045; Block: 4; Root: 2; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_C03_409_X2_45_rt2_i_10479813_22MM3HLT4_L3_R1","4_C03_409_X2_45_rt2_i_10479813_22MM3HLT4_L3_R2"
"246","TCDM_4_106_X4_46_rt1_o","C04_106_X4_46_rt1_o","SampleID: C04_106_X4_46_rt1_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: C04 Year: 2024; Accession: ITH21F004P046; Block: 1; Root: 1; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_C04_106_X4_46_rt1_o_10479813_22MM3HLT4_L3_R1","4_C04_106_X4_46_rt1_o_10479813_22MM3HLT4_L3_R2"
"247","TCDM_4_118_C14_rt1_i","C05_118_C14_rt1_i","SampleID: C05_118_C14_rt1_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: C05 Year: 2024; Accession: HIL16C014; Block: 1; Root: 1; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_C05_118_C14_rt1_i_10479813_22MM3HLT4_L3_R1","4_C05_118_C14_rt1_i_10479813_22MM3HLT4_L3_R2"
"248","TCDM_4_409_X2_45_rt1_o","C06_409_X2_45_rt1_o","SampleID: C06_409_X2_45_rt1_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: C06 Year: 2024; Accession: ITH21F002P045; Block: 4; Root: 1; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_C06_409_X2_45_rt1_o_10479813_22MM3HLT4_L3_R1","4_C06_409_X2_45_rt1_o_10479813_22MM3HLT4_L3_R2"
"249","TCDM_4_307_A03_rt2_o","C07_307_A03_rt2_o","SampleID: C07_307_A03_rt2_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: C07 Year: 2024; Accession: HIL16A003; Block: 3; Root: 2; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_C07_307_A03_rt2_o_10479813_22MM3HLT4_L3_R1","4_C07_307_A03_rt2_o_10479813_22MM3HLT4_L3_R2"
"250","TCDM_4_218_X8_415_rt2_o","C08_218_X8_415_rt2_o","SampleID: C08_218_X8_415_rt2_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: C08 Year: 2024; Accession: ITH21F008P041.5; Block: 2; Root: 2; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_C08_218_X8_415_rt2_o_10479813_22MM3HLT4_L3_R1","4_C08_218_X8_415_rt2_o_10479813_22MM3HLT4_L3_R2"
"251","TCDM_4_115_X1_54_rt3_o","C09_115_X1_54_rt3_o","SampleID: C09_115_X1_54_rt3_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: C09 Year: 2024; Accession: ITH21F001P054; Block: 1; Root: 3; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 8MAP","4_C09_115_X1_54_rt3_o_10479813_22MM3HLT4_L3_R1","4_C09_115_X1_54_rt3_o_10479813_22MM3HLT4_L3_R2"
"252","TCDM_4_101_X2_24_rt2_o","C11_101_X2_24_rt2_o","SampleID: C11_101_X2_24_rt2_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: C11 Year: 2024; Accession: ITH21F002P024; Block: 1; Root: 2; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 7MAP","4_C11_101_X2_24_rt2_o_10479813_22MM3HLT4_L3_R1","4_C11_101_X2_24_rt2_o_10479813_22MM3HLT4_L3_R2"
"253","TCDM_4_101_X2_24_rt1_i","C12_101_X2_24_rt1_i","SampleID: C12_101_X2_24_rt1_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: C12 Year: 2024; Accession: ITH21F002P024; Block: 1; Root: 1; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 7MAP","4_C12_101_X2_24_rt1_i_10479813_22MM3HLT4_L3_R1","4_C12_101_X2_24_rt1_i_10479813_22MM3HLT4_L3_R2"
"254","TCDM_4_307_A03_rt3_i","D01_307_A03_rt3_i","SampleID: D01_307_A03_rt3_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: D01 Year: 2024; Accession: HIL16A003; Block: 3; Root: 3; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_D01_307_A03_rt3_i_10479813_22MM3HLT4_L3_R1","4_D01_307_A03_rt3_i_10479813_22MM3HLT4_L3_R2"
"255","TCDM_4_402_X11_57_rt2_i","D02_402_X11_57_rt2_i","SampleID: D02_402_X11_57_rt2_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: D02 Year: 2024; Accession: ITH21F011P057; Block: 4; Root: 2; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_D02_402_X11_57_rt2_i_10479813_22MM3HLT4_L3_R1","4_D02_402_X11_57_rt2_i_10479813_22MM3HLT4_L3_R2"
"256","TCDM_4_220_X10_39_rt3_i","D04_220_X10_39_rt3_i","SampleID: D04_220_X10_39_rt3_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: D04 Year: 2024; Accession: ITH21F010P039; Block: 2; Root: 3; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_D04_220_X10_39_rt3_i_10479813_22MM3HLT4_L3_R1","4_D04_220_X10_39_rt3_i_10479813_22MM3HLT4_L3_R2"
"257","TCDM_4_207_A04_rt3_o","D05_207_A04_rt3_o","SampleID: D05_207_A04_rt3_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: D05 Year: 2024; Accession: HIL16A004; Block: 2; Root: 3; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_D05_207_A04_rt3_o_10479813_22MM3HLT4_L3_R1","4_D05_207_A04_rt3_o_10479813_22MM3HLT4_L3_R2"
"258","TCDM_4_403_A20_rt3_i","D06_403_A20_rt3_i","SampleID: D06_403_A20_rt3_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: D06 Year: 2024; Accession: HIL16A020; Block: 4; Root: 3; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_D06_403_A20_rt3_i_10479813_22MM3HLT4_L3_R1","4_D06_403_A20_rt3_i_10479813_22MM3HLT4_L3_R2"
"259","TCDM_4_220_X10_39_rt3_o","D07_220_X10_39_rt3_o","SampleID: D07_220_X10_39_rt3_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: D07 Year: 2024; Accession: ITH21F010P039; Block: 2; Root: 3; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_D07_220_X10_39_rt3_o_10479813_22MM3HLT4_L3_R1","4_D07_220_X10_39_rt3_o_10479813_22MM3HLT4_L3_R2"
"260","TCDM_4_106_X4_46_rt2_o","D08_106_X4_46_rt2_o","SampleID: D08_106_X4_46_rt2_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: D08 Year: 2024; Accession: ITH21F004P046; Block: 1; Root: 2; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_D08_106_X4_46_rt2_o_10479813_22MM3HLT4_L3_R1","4_D08_106_X4_46_rt2_o_10479813_22MM3HLT4_L3_R2"
"261","TCDM_4_307_A03_rt1_i","D10_307_A03_rt1_i","SampleID: D10_307_A03_rt1_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: D10 Year: 2024; Accession: HIL16A003; Block: 3; Root: 1; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_D10_307_A03_rt1_i_10479813_22MM3HLT4_L3_R1","4_D10_307_A03_rt1_i_10479813_22MM3HLT4_L3_R2"
"262","TCDM_4_303_X11_68_rt1_o","D11_303_X11_68_rt1_o","SampleID: D11_303_X11_68_rt1_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: D11 Year: 2024; Accession: ITH21F011P068; Block: 3; Root: 1; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 8MAP","4_D11_303_X11_68_rt1_o_10479813_22MM3HLT4_L3_R1","4_D11_303_X11_68_rt1_o_10479813_22MM3HLT4_L3_R2"
"263","TCDM_4_302_C17_rt3_o","D12_302_C17_rt3_o","SampleID: D12_302_C17_rt3_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: D12 Year: 2024; Accession: HIL16C017; Block: 3; Root: 3; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_D12_302_C17_rt3_o_10479813_22MM3HLT4_L3_R1","4_D12_302_C17_rt3_o_10479813_22MM3HLT4_L3_R2"
"264","TCDM_4_317_X4_42_rt1_i","E01_317_X4_42_rt1_i","SampleID: E01_317_X4_42_rt1_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: E01 Year: 2024; Accession: ITH21F004P042; Block: 3; Root: 1; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_E01_317_X4_42_rt1_i_10479813_22MM3HLT4_L3_R1","4_E01_317_X4_42_rt1_i_10479813_22MM3HLT4_L3_R2"
"265","TCDM_4_409_X2_45_rt3_o","E03_409_X2_45_rt3_o","SampleID: E03_409_X2_45_rt3_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: E03 Year: 2024; Accession: ITH21F002P045; Block: 4; Root: 3; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_E03_409_X2_45_rt3_o_10479813_22MM3HLT4_L3_R1","4_E03_409_X2_45_rt3_o_10479813_22MM3HLT4_L3_R2"
"266","TCDM_4_307_A03_rt1_o","E04_307_A03_rt1_o","SampleID: E04_307_A03_rt1_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: E04 Year: 2024; Accession: HIL16A003; Block: 3; Root: 1; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_E04_307_A03_rt1_o_10479813_22MM3HLT4_L3_R1","4_E04_307_A03_rt1_o_10479813_22MM3HLT4_L3_R2"
"267","TCDM_4_107_X4_32_rt1_i","E05_107_X4_32_rt1_i","SampleID: E05_107_X4_32_rt1_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: E05 Year: 2024; Accession: ITH21F004P032; Block: 1; Root: 1; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_E05_107_X4_32_rt1_i_10479813_22MM3HLT4_L3_R1","4_E05_107_X4_32_rt1_i_10479813_22MM3HLT4_L3_R2"
"268","TCDM_4_218_X8_415_rt1_o","E06_218_X8_415_rt1_o","SampleID: E06_218_X8_415_rt1_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: E06 Year: 2024; Accession: ITH21F008P041.5; Block: 2; Root: 1; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_E06_218_X8_415_rt1_o_10479813_22MM3HLT4_L3_R1","4_E06_218_X8_415_rt1_o_10479813_22MM3HLT4_L3_R2"
"269","TCDM_4_402_X11_57_rt1_o","E07_402_X11_57_rt1_o","SampleID: E07_402_X11_57_rt1_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: E07 Year: 2024; Accession: ITH21F011P057; Block: 4; Root: 1; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_E07_402_X11_57_rt1_o_10479813_22MM3HLT4_L3_R1","4_E07_402_X11_57_rt1_o_10479813_22MM3HLT4_L3_R2"
"270","TCDM_4_402_X11_57_rt2_o","E08_402_X11_57_rt2_o","SampleID: E08_402_X11_57_rt2_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: E08 Year: 2024; Accession: ITH21F011P057; Block: 4; Root: 2; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_E08_402_X11_57_rt2_o_10479813_22MM3HLT4_L3_R1","4_E08_402_X11_57_rt2_o_10479813_22MM3HLT4_L3_R2"
"271","TCDM_4_411_C17_rt3_i","E09_411_C17_rt3_i","SampleID: E09_411_C17_rt3_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: E09 Year: 2024; Accession: HIL16C017; Block: 4; Root: 3; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 8MAP","4_E09_411_C17_rt3_i_10479813_22MM3HLT4_L3_R1","4_E09_411_C17_rt3_i_10479813_22MM3HLT4_L3_R2"
"272","TCDM_4_411_C17_rt2_o","E10_411_C17_rt2_o","SampleID: E10_411_C17_rt2_o; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: E10 Year: 2024; Accession: HIL16C017; Block: 4; Root: 2; Tissue layer: outer; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 8MAP","4_E10_411_C17_rt2_o_10479813_22MM3HLT4_L3_R1","4_E10_411_C17_rt2_o_10479813_22MM3HLT4_L3_R2"
"273","TCDM_4_106_X4_46_rt1_i","E11_106_X4_46_rt1_i","SampleID: E11_106_X4_46_rt1_i; RNAseq Plate ID: TCDM_4; RNAseq Plate Well ID: E11 Year: 2024; Accession: ITH21F004P046; Block: 1; Root: 1; Tissue layer: inner; Greenhouse grown in 10in pot in Ithaca NY USA; Harvested 9MAP","4_E11_106_X4_46_rt1_i_10479813_22MM3HLT4_L3_R1","4_E11_106_X4_46_rt1_i_10479813_22MM3HLT4_L3_R2"
